Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"LGA (UR) by OCCP - 2 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default summation","Persons Place of Usual Residence"

"Counting","LGA (UR)","OCCP - 2 Digit Level","Count",
"Persons Place of Usual Residence","Wujal Wujal (S)","Construction Trades Workers",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Electrotechnology and Telecommunications Trades Workers",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Food Trades Workers",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Skilled Animal and Horticultural Workers",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Other Technicians and Trades Workers",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Community and Personal Service Workers, nfd",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Health and Welfare Support Workers",7
"Persons Place of Usual Residence","Wujal Wujal (S)","Carers and Aides",12
"Persons Place of Usual Residence","Wujal Wujal (S)","Hospitality Workers",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Protective Service Workers",6
"Persons Place of Usual Residence","Wujal Wujal (S)","Clerical and Administrative Workers, nfd",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Office Managers and Program Administrators",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Personal Assistants and Secretaries",0
"Persons Place of Usual Residence","Wujal Wujal (S)","General Clerical Workers",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Inquiry Clerks and Receptionists",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Numerical Clerks",3
"Persons Place of Usual Residence","Wujal Wujal (S)","Clerical and Office Support Workers",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Other Clerical and Administrative Workers",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Sales Workers, nfd",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Sales Representatives and Agents",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Sales Assistants and Salespersons",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Sales Support Workers",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Machinery Operators and Drivers, nfd",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Machine and Stationary Plant Operators",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Mobile Plant Operators",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Road and Rail Drivers",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Storepersons",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Labourers, nfd",4
"Persons Place of Usual Residence","Wujal Wujal (S)","Cleaners and Laundry Workers",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Construction and Mining Labourers",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Factory Process Workers",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Farm, Forestry and Garden Workers",3
"Persons Place of Usual Residence","Wujal Wujal (S)","Food Preparation Assistants",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Other Labourers",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Sports and Personal Service Workers",0
"Persons Place of Usual Residence","Wujal Wujal (S)","Total",61
"Persons Place of Usual Residence","Woorabinda (S)","Managers, nfd",0
"Persons Place of Usual Residence","Woorabinda (S)","Chief Executives, General Managers and Legislators",0
"Persons Place of Usual Residence","Woorabinda (S)","Farmers and Farm Managers",7
"Persons Place of Usual Residence","Woorabinda (S)","Specialist Managers",12
"Persons Place of Usual Residence","Woorabinda (S)","Hospitality, Retail and Service Managers",3
"Persons Place of Usual Residence","Woorabinda (S)","Professionals, nfd",0
"Persons Place of Usual Residence","Woorabinda (S)","Arts and Media Professionals",0
"Persons Place of Usual Residence","Woorabinda (S)","Business, Human Resource and Marketing Professionals",8
"Persons Place of Usual Residence","Woorabinda (S)","Design, Engineering, Science and Transport Professionals",0
"Persons Place of Usual Residence","Woorabinda (S)","Education Professionals",7
"Persons Place of Usual Residence","Woorabinda (S)","Health Professionals",6
"Persons Place of Usual Residence","Woorabinda (S)","ICT Professionals",0
"Persons Place of Usual Residence","Woorabinda (S)","Legal, Social and Welfare Professionals",5
"Persons Place of Usual Residence","Woorabinda (S)","Technicians and Trades Workers, nfd",0
"Persons Place of Usual Residence","Woorabinda (S)","Engineering, ICT and Science Technicians",0
"Persons Place of Usual Residence","Woorabinda (S)","Automotive and Engineering Trades Workers",0
"Persons Place of Usual Residence","Woorabinda (S)","Construction Trades Workers",5
"Persons Place of Usual Residence","Woorabinda (S)","Electrotechnology and Telecommunications Trades Workers",0
"Persons Place of Usual Residence","Woorabinda (S)","Food Trades Workers",6
"Persons Place of Usual Residence","Woorabinda (S)","Skilled Animal and Horticultural Workers",0
"Persons Place of Usual Residence","Woorabinda (S)","Other Technicians and Trades Workers",0
"Persons Place of Usual Residence","Woorabinda (S)","Community and Personal Service Workers, nfd",0
"Persons Place of Usual Residence","Woorabinda (S)","Health and Welfare Support Workers",13
"Persons Place of Usual Residence","Woorabinda (S)","Carers and Aides",30
"Persons Place of Usual Residence","Woorabinda (S)","Hospitality Workers",0
"Persons Place of Usual Residence","Woorabinda (S)","Protective Service Workers",14
"Persons Place of Usual Residence","Woorabinda (S)","Clerical and Administrative Workers, nfd",0
"Persons Place of Usual Residence","Woorabinda (S)","Office Managers and Program Administrators",0
"Persons Place of Usual Residence","Woorabinda (S)","Personal Assistants and Secretaries",0
"Persons Place of Usual Residence","Woorabinda (S)","General Clerical Workers",4
"Persons Place of Usual Residence","Woorabinda (S)","Inquiry Clerks and Receptionists",0
"Persons Place of Usual Residence","Woorabinda (S)","Numerical Clerks",5
"Persons Place of Usual Residence","Woorabinda (S)","Clerical and Office Support Workers",14
"Persons Place of Usual Residence","Woorabinda (S)","Other Clerical and Administrative Workers",0
"Persons Place of Usual Residence","Woorabinda (S)","Sales Workers, nfd",0
"Persons Place of Usual Residence","Woorabinda (S)","Sales Representatives and Agents",0
"Persons Place of Usual Residence","Woorabinda (S)","Sales Assistants and Salespersons",9
"Persons Place of Usual Residence","Woorabinda (S)","Sales Support Workers",0
"Persons Place of Usual Residence","Woorabinda (S)","Machinery Operators and Drivers, nfd",0
"Persons Place of Usual Residence","Woorabinda (S)","Machine and Stationary Plant Operators",3
"Persons Place of Usual Residence","Woorabinda (S)","Mobile Plant Operators",0
"Persons Place of Usual Residence","Woorabinda (S)","Road and Rail Drivers",5
"Persons Place of Usual Residence","Woorabinda (S)","Storepersons",0
"Persons Place of Usual Residence","Woorabinda (S)","Labourers, nfd",0
"Persons Place of Usual Residence","Woorabinda (S)","Cleaners and Laundry Workers",12
"Persons Place of Usual Residence","Woorabinda (S)","Construction and Mining Labourers",5
"Persons Place of Usual Residence","Woorabinda (S)","Factory Process Workers",0
"Persons Place of Usual Residence","Woorabinda (S)","Farm, Forestry and Garden Workers",9
"Persons Place of Usual Residence","Woorabinda (S)","Food Preparation Assistants",0
"Persons Place of Usual Residence","Woorabinda (S)","Other Labourers",3
"Persons Place of Usual Residence","Woorabinda (S)","Sports and Personal Service Workers",0
"Persons Place of Usual Residence","Woorabinda (S)","Total",180
"Persons Place of Usual Residence","Winton (S)","Managers, nfd",0
"Persons Place of Usual Residence","Winton (S)","Chief Executives, General Managers and Legislators",3
"Persons Place of Usual Residence","Winton (S)","Farmers and Farm Managers",113
"Persons Place of Usual Residence","Winton (S)","Specialist Managers",18
"Persons Place of Usual Residence","Winton (S)","Hospitality, Retail and Service Managers",41
"Persons Place of Usual Residence","Winton (S)","Professionals, nfd",0
"Persons Place of Usual Residence","Winton (S)","Arts and Media Professionals",0
"Persons Place of Usual Residence","Winton (S)","Business, Human Resource and Marketing Professionals",4
"Persons Place of Usual Residence","Winton (S)","Design, Engineering, Science and Transport Professionals",4
"Persons Place of Usual Residence","Winton (S)","Education Professionals",20
"Persons Place of Usual Residence","Winton (S)","Health Professionals",14
"Persons Place of Usual Residence","Winton (S)","ICT Professionals",0
"Persons Place of Usual Residence","Winton (S)","Legal, Social and Welfare Professionals",0
"Persons Place of Usual Residence","Winton (S)","Technicians and Trades Workers, nfd",0
"Persons Place of Usual Residence","Winton (S)","Engineering, ICT and Science Technicians",7
"Persons Place of Usual Residence","Winton (S)","Automotive and Engineering Trades Workers",24
"Persons Place of Usual Residence","Winton (S)","Construction Trades Workers",8
"Persons Place of Usual Residence","Winton (S)","Electrotechnology and Telecommunications Trades Workers",9
"Persons Place of Usual Residence","Winton (S)","Food Trades Workers",18
"Persons Place of Usual Residence","Winton (S)","Skilled Animal and Horticultural Workers",4
"Persons Place of Usual Residence","Winton (S)","Other Technicians and Trades Workers",3
"Persons Place of Usual Residence","Winton (S)","Community and Personal Service Workers, nfd",0
"Persons Place of Usual Residence","Winton (S)","Health and Welfare Support Workers",7
"Persons Place of Usual Residence","Winton (S)","Carers and Aides",28
"Persons Place of Usual Residence","Winton (S)","Hospitality Workers",7
"Persons Place of Usual Residence","Winton (S)","Protective Service Workers",5
"Persons Place of Usual Residence","Winton (S)","Clerical and Administrative Workers, nfd",0
"Persons Place of Usual Residence","Winton (S)","Office Managers and Program Administrators",9
"Persons Place of Usual Residence","Winton (S)","Personal Assistants and Secretaries",0
"Persons Place of Usual Residence","Winton (S)","General Clerical Workers",16
"Persons Place of Usual Residence","Winton (S)","Inquiry Clerks and Receptionists",5
"Persons Place of Usual Residence","Winton (S)","Numerical Clerks",12
"Persons Place of Usual Residence","Winton (S)","Clerical and Office Support Workers",3
"Persons Place of Usual Residence","Winton (S)","Other Clerical and Administrative Workers",5
"Persons Place of Usual Residence","Winton (S)","Sales Workers, nfd",0
"Persons Place of Usual Residence","Winton (S)","Sales Representatives and Agents",7
"Persons Place of Usual Residence","Winton (S)","Sales Assistants and Salespersons",18
"Persons Place of Usual Residence","Winton (S)","Sales Support Workers",8
"Persons Place of Usual Residence","Winton (S)","Machinery Operators and Drivers, nfd",3
"Persons Place of Usual Residence","Winton (S)","Machine and Stationary Plant Operators",9
"Persons Place of Usual Residence","Winton (S)","Mobile Plant Operators",12
"Persons Place of Usual Residence","Winton (S)","Road and Rail Drivers",19
"Persons Place of Usual Residence","Winton (S)","Storepersons",0
"Persons Place of Usual Residence","Winton (S)","Labourers, nfd",0
"Persons Place of Usual Residence","Winton (S)","Cleaners and Laundry Workers",13
"Persons Place of Usual Residence","Winton (S)","Construction and Mining Labourers",16
"Persons Place of Usual Residence","Winton (S)","Factory Process Workers",0
"Persons Place of Usual Residence","Winton (S)","Farm, Forestry and Garden Workers",38
"Persons Place of Usual Residence","Winton (S)","Food Preparation Assistants",9
"Persons Place of Usual Residence","Winton (S)","Other Labourers",12
"Persons Place of Usual Residence","Winton (S)","Sports and Personal Service Workers",14
"Persons Place of Usual Residence","Winton (S)","Total",556
"Persons Place of Usual Residence","Whitsunday (R)","Managers, nfd",44
"Persons Place of Usual Residence","Whitsunday (R)","Chief Executives, General Managers and Legislators",111
"Persons Place of Usual Residence","Whitsunday (R)","Farmers and Farm Managers",541
"Persons Place of Usual Residence","Whitsunday (R)","Specialist Managers",542
"Persons Place of Usual Residence","Whitsunday (R)","Hospitality, Retail and Service Managers",894
"Persons Place of Usual Residence","Whitsunday (R)","Professionals, nfd",3
"Persons Place of Usual Residence","Whitsunday (R)","Arts and Media Professionals",67
"Persons Place of Usual Residence","Whitsunday (R)","Business, Human Resource and Marketing Professionals",249
"Persons Place of Usual Residence","Whitsunday (R)","Design, Engineering, Science and Transport Professionals",452
"Persons Place of Usual Residence","Whitsunday (R)","Education Professionals",508
"Persons Place of Usual Residence","Whitsunday (R)","Health Professionals",342
"Persons Place of Usual Residence","Whitsunday (R)","ICT Professionals",23
"Persons Place of Usual Residence","Whitsunday (R)","Legal, Social and Welfare Professionals",102
"Persons Place of Usual Residence","Whitsunday (R)","Technicians and Trades Workers, nfd",15
"Persons Place of Usual Residence","Whitsunday (R)","Engineering, ICT and Science Technicians",248
"Persons Place of Usual Residence","Whitsunday (R)","Automotive and Engineering Trades Workers",739
"Persons Place of Usual Residence","Whitsunday (R)","Construction Trades Workers",444
"Persons Place of Usual Residence","Whitsunday (R)","Electrotechnology and Telecommunications Trades Workers",376
"Persons Place of Usual Residence","Whitsunday (R)","Food Trades Workers",413
"Persons Place of Usual Residence","Whitsunday (R)","Skilled Animal and Horticultural Workers",194
"Persons Place of Usual Residence","Whitsunday (R)","Other Technicians and Trades Workers",218
"Persons Place of Usual Residence","Whitsunday (R)","Community and Personal Service Workers, nfd",0
"Persons Place of Usual Residence","Whitsunday (R)","Health and Welfare Support Workers",168
"Persons Place of Usual Residence","Whitsunday (R)","Carers and Aides",573
"Persons Place of Usual Residence","Whitsunday (R)","Hospitality Workers",523
"Persons Place of Usual Residence","Whitsunday (R)","Protective Service Workers",164
"Persons Place of Usual Residence","Whitsunday (R)","Clerical and Administrative Workers, nfd",3
"Persons Place of Usual Residence","Whitsunday (R)","Office Managers and Program Administrators",257
"Persons Place of Usual Residence","Whitsunday (R)","Personal Assistants and Secretaries",81
"Persons Place of Usual Residence","Whitsunday (R)","General Clerical Workers",360
"Persons Place of Usual Residence","Whitsunday (R)","Inquiry Clerks and Receptionists",237
"Persons Place of Usual Residence","Whitsunday (R)","Numerical Clerks",349
"Persons Place of Usual Residence","Whitsunday (R)","Clerical and Office Support Workers",96
"Persons Place of Usual Residence","Whitsunday (R)","Other Clerical and Administrative Workers",174
"Persons Place of Usual Residence","Whitsunday (R)","Sales Workers, nfd",0
"Persons Place of Usual Residence","Whitsunday (R)","Sales Representatives and Agents",168
"Persons Place of Usual Residence","Whitsunday (R)","Sales Assistants and Salespersons",1013
"Persons Place of Usual Residence","Whitsunday (R)","Sales Support Workers",250
"Persons Place of Usual Residence","Whitsunday (R)","Machinery Operators and Drivers, nfd",40
"Persons Place of Usual Residence","Whitsunday (R)","Machine and Stationary Plant Operators",687
"Persons Place of Usual Residence","Whitsunday (R)","Mobile Plant Operators",304
"Persons Place of Usual Residence","Whitsunday (R)","Road and Rail Drivers",635
"Persons Place of Usual Residence","Whitsunday (R)","Storepersons",84
"Persons Place of Usual Residence","Whitsunday (R)","Labourers, nfd",59
"Persons Place of Usual Residence","Whitsunday (R)","Cleaners and Laundry Workers",737
"Persons Place of Usual Residence","Whitsunday (R)","Construction and Mining Labourers",195
"Persons Place of Usual Residence","Whitsunday (R)","Factory Process Workers",271
"Persons Place of Usual Residence","Whitsunday (R)","Farm, Forestry and Garden Workers",548
"Persons Place of Usual Residence","Whitsunday (R)","Food Preparation Assistants",207
"Persons Place of Usual Residence","Whitsunday (R)","Other Labourers",446
"Persons Place of Usual Residence","Whitsunday (R)","Sports and Personal Service Workers",282
"Persons Place of Usual Residence","Whitsunday (R)","Total",15440
"Persons Place of Usual Residence","Western Downs (R)","Managers, nfd",29
"Persons Place of Usual Residence","Western Downs (R)","Chief Executives, General Managers and Legislators",64
"Persons Place of Usual Residence","Western Downs (R)","Farmers and Farm Managers",1771
"Persons Place of Usual Residence","Western Downs (R)","Specialist Managers",470
"Persons Place of Usual Residence","Western Downs (R)","Hospitality, Retail and Service Managers",487
"Persons Place of Usual Residence","Western Downs (R)","Professionals, nfd",4
"Persons Place of Usual Residence","Western Downs (R)","Arts and Media Professionals",21
"Persons Place of Usual Residence","Western Downs (R)","Business, Human Resource and Marketing Professionals",316
"Persons Place of Usual Residence","Western Downs (R)","Design, Engineering, Science and Transport Professionals",228
"Persons Place of Usual Residence","Western Downs (R)","Education Professionals",609
"Persons Place of Usual Residence","Western Downs (R)","Health Professionals",370
"Persons Place of Usual Residence","Western Downs (R)","ICT Professionals",16
"Persons Place of Usual Residence","Western Downs (R)","Legal, Social and Welfare Professionals",97
"Persons Place of Usual Residence","Western Downs (R)","Technicians and Trades Workers, nfd",23
"Persons Place of Usual Residence","Western Downs (R)","Engineering, ICT and Science Technicians",260
"Persons Place of Usual Residence","Western Downs (R)","Automotive and Engineering Trades Workers",849
"Persons Place of Usual Residence","Western Downs (R)","Construction Trades Workers",280
"Persons Place of Usual Residence","Western Downs (R)","Electrotechnology and Telecommunications Trades Workers",257
"Persons Place of Usual Residence","Western Downs (R)","Food Trades Workers",213
"Persons Place of Usual Residence","Western Downs (R)","Skilled Animal and Horticultural Workers",129
"Persons Place of Usual Residence","Western Downs (R)","Other Technicians and Trades Workers",303
"Persons Place of Usual Residence","Western Downs (R)","Community and Personal Service Workers, nfd",0
"Persons Place of Usual Residence","Western Downs (R)","Health and Welfare Support Workers",141
"Persons Place of Usual Residence","Western Downs (R)","Carers and Aides",635
"Persons Place of Usual Residence","Western Downs (R)","Hospitality Workers",194
"Persons Place of Usual Residence","Western Downs (R)","Protective Service Workers",124
"Persons Place of Usual Residence","Western Downs (R)","Clerical and Administrative Workers, nfd",0
"Persons Place of Usual Residence","Western Downs (R)","Office Managers and Program Administrators",319
"Persons Place of Usual Residence","Western Downs (R)","Personal Assistants and Secretaries",68
"Persons Place of Usual Residence","Western Downs (R)","General Clerical Workers",401
"Persons Place of Usual Residence","Western Downs (R)","Inquiry Clerks and Receptionists",194
"Persons Place of Usual Residence","Western Downs (R)","Numerical Clerks",359
"Persons Place of Usual Residence","Western Downs (R)","Clerical and Office Support Workers",95
"Persons Place of Usual Residence","Western Downs (R)","Other Clerical and Administrative Workers",178
"Persons Place of Usual Residence","Western Downs (R)","Sales Workers, nfd",0
"Persons Place of Usual Residence","Western Downs (R)","Sales Representatives and Agents",122
"Persons Place of Usual Residence","Western Downs (R)","Sales Assistants and Salespersons",890
"Persons Place of Usual Residence","Western Downs (R)","Sales Support Workers",161
"Persons Place of Usual Residence","Western Downs (R)","Machinery Operators and Drivers, nfd",39
"Persons Place of Usual Residence","Western Downs (R)","Machine and Stationary Plant Operators",398
"Persons Place of Usual Residence","Western Downs (R)","Mobile Plant Operators",375
"Persons Place of Usual Residence","Western Downs (R)","Road and Rail Drivers",552
"Persons Place of Usual Residence","Western Downs (R)","Storepersons",92
"Persons Place of Usual Residence","Western Downs (R)","Labourers, nfd",57
"Persons Place of Usual Residence","Western Downs (R)","Cleaners and Laundry Workers",483
"Persons Place of Usual Residence","Western Downs (R)","Construction and Mining Labourers",210
"Persons Place of Usual Residence","Western Downs (R)","Factory Process Workers",141
"Persons Place of Usual Residence","Western Downs (R)","Farm, Forestry and Garden Workers",633
"Persons Place of Usual Residence","Western Downs (R)","Food Preparation Assistants",186
"Persons Place of Usual Residence","Western Downs (R)","Other Labourers",264
"Persons Place of Usual Residence","Western Downs (R)","Sports and Personal Service Workers",91
"Persons Place of Usual Residence","Western Downs (R)","Total",14189
"Persons Place of Usual Residence","Weipa (T)","Managers, nfd",0
"Persons Place of Usual Residence","Weipa (T)","Chief Executives, General Managers and Legislators",13
"Persons Place of Usual Residence","Weipa (T)","Farmers and Farm Managers",0
"Persons Place of Usual Residence","Weipa (T)","Specialist Managers",87
"Persons Place of Usual Residence","Weipa (T)","Hospitality, Retail and Service Managers",49
"Persons Place of Usual Residence","Weipa (T)","Professionals, nfd",0
"Persons Place of Usual Residence","Weipa (T)","Arts and Media Professionals",4
"Persons Place of Usual Residence","Weipa (T)","Business, Human Resource and Marketing Professionals",35
"Persons Place of Usual Residence","Weipa (T)","Design, Engineering, Science and Transport Professionals",60
"Persons Place of Usual Residence","Weipa (T)","Education Professionals",100
"Persons Place of Usual Residence","Weipa (T)","Health Professionals",83
"Persons Place of Usual Residence","Weipa (T)","ICT Professionals",0
"Persons Place of Usual Residence","Weipa (T)","Legal, Social and Welfare Professionals",21
"Persons Place of Usual Residence","Weipa (T)","Technicians and Trades Workers, nfd",3
"Persons Place of Usual Residence","Weipa (T)","Engineering, ICT and Science Technicians",82
"Persons Place of Usual Residence","Weipa (T)","Automotive and Engineering Trades Workers",237
"Persons Place of Usual Residence","Weipa (T)","Construction Trades Workers",61
"Persons Place of Usual Residence","Weipa (T)","Electrotechnology and Telecommunications Trades Workers",95
"Persons Place of Usual Residence","Weipa (T)","Food Trades Workers",15
"Persons Place of Usual Residence","Weipa (T)","Skilled Animal and Horticultural Workers",24
"Persons Place of Usual Residence","Weipa (T)","Other Technicians and Trades Workers",16
"Persons Place of Usual Residence","Weipa (T)","Community and Personal Service Workers, nfd",0
"Persons Place of Usual Residence","Weipa (T)","Health and Welfare Support Workers",22
"Persons Place of Usual Residence","Weipa (T)","Carers and Aides",77
"Persons Place of Usual Residence","Weipa (T)","Hospitality Workers",29
"Persons Place of Usual Residence","Weipa (T)","Protective Service Workers",28
"Persons Place of Usual Residence","Weipa (T)","Clerical and Administrative Workers, nfd",0
"Persons Place of Usual Residence","Weipa (T)","Office Managers and Program Administrators",46
"Persons Place of Usual Residence","Weipa (T)","Personal Assistants and Secretaries",3
"Persons Place of Usual Residence","Weipa (T)","General Clerical Workers",45
"Persons Place of Usual Residence","Weipa (T)","Inquiry Clerks and Receptionists",16
"Persons Place of Usual Residence","Weipa (T)","Numerical Clerks",30
"Persons Place of Usual Residence","Weipa (T)","Clerical and Office Support Workers",9
"Persons Place of Usual Residence","Weipa (T)","Other Clerical and Administrative Workers",40
"Persons Place of Usual Residence","Weipa (T)","Sales Workers, nfd",0
"Persons Place of Usual Residence","Weipa (T)","Sales Representatives and Agents",7
"Persons Place of Usual Residence","Weipa (T)","Sales Assistants and Salespersons",61
"Persons Place of Usual Residence","Weipa (T)","Sales Support Workers",21
"Persons Place of Usual Residence","Weipa (T)","Machinery Operators and Drivers, nfd",18
"Persons Place of Usual Residence","Weipa (T)","Machine and Stationary Plant Operators",375
"Persons Place of Usual Residence","Weipa (T)","Mobile Plant Operators",27
"Persons Place of Usual Residence","Weipa (T)","Road and Rail Drivers",80
"Persons Place of Usual Residence","Weipa (T)","Storepersons",21
"Persons Place of Usual Residence","Weipa (T)","Labourers, nfd",6
"Persons Place of Usual Residence","Weipa (T)","Cleaners and Laundry Workers",62
"Persons Place of Usual Residence","Weipa (T)","Construction and Mining Labourers",21
"Persons Place of Usual Residence","Weipa (T)","Factory Process Workers",4
"Persons Place of Usual Residence","Weipa (T)","Farm, Forestry and Garden Workers",6
"Persons Place of Usual Residence","Weipa (T)","Food Preparation Assistants",22
"Persons Place of Usual Residence","Weipa (T)","Other Labourers",43
"Persons Place of Usual Residence","Weipa (T)","Sports and Personal Service Workers",18
"Persons Place of Usual Residence","Weipa (T)","Total",2126
